question,query
List all boardgames by GMT.,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Zeige mir alle Brettspiele von GMT.,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Listez tous les jeux de société de GMT.,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Перечислите все игры GMT.,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Перерахуйте всі ігри GMT.,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Išvardykite visus GMT žaidimus.,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Who developed Skype?,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Wer hat Skype entwickelt?,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Qui a développé Skype ?,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Кто разработал Skype?,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Хто розробив скайп,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Kas sukūrė „Skype“?,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Хто распрацаваў скайп,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Which people were born in Heraklion?,SELECT DISTINCT var_uri WHERE bra_open var_uri rdf_type dbo_Person ; onto_birthPlace dbr_Heraklion bra_close 
Welche Menschen wurden in Heraklion geboren?,SELECT DISTINCT var_uri WHERE bra_open var_uri rdf_type dbo_Person ; onto_birthPlace dbr_Heraklion bra_close 
Qui est né à Heraklion ?,SELECT DISTINCT var_uri WHERE bra_open var_uri rdf_type dbo_Person ; onto_birthPlace dbr_Heraklion bra_close 
