question,query
List all boardgames by GMT. <pad> VERB DET NOUN ADP PROPN PUNCT <pad> ROOT det dobj prep pobj punct <pad> 1 3 2 3 4 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Zeige mir alle Brettspiele von GMT. <pad> VERB PRON DET NOUN ADP PROPN PUNCT <pad> ROOT da nk oa pg nk punct <pad> 1 2 3 2 3 4 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Перечислите все игры GMT. <pad> VERB DET NOUN PROPN PUNCT <pad> ROOT det obj appos punct <pad> 1 3 2 3 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Listez tous les jeux de société de GMT. <pad> PROPN ADJ DET NOUN ADP NOUN ADP PROPN PUNCT <pad> ROOT amod det obl:mod case nmod case nmod punct <pad> 1 3 3 2 4 3 5 4 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Išvardykite visus GMT žaidimus. <pad> VERB DET X NOUN PUNCT <pad> ROOT det nmod obj punct <pad> 1 3 3 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
列出所有GMT出品的桌游。 <pad> VERB DET PROPN NOUN PART NOUN PUNCT <pad> ROOT det nmod:assmod nmod:assmod case dobj punct <pad> 1 4 4 3 4 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
GMTのすべてのボードゲームをリストする <pad> NOUN ADP NOUN ADP NOUN NOUN ADP VERB AUX <pad> nmod case nmod case compound obj case ROOT aux <pad> 3 4 3 4 3 2 3 1 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Перерахуйте всі ігри GMT. <pad> VERB DET NOUN X PUNCT <pad> ROOT det obj nmod punct <pad> 1 3 2 3 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
¿Qué juegos de mesa fueron hechos por GMT? <pad> PUNCT DET NOUN ADP NOUN AUX VERB ADP PROPN PUNCT <pad> punct det nsubj case nmod aux ROOT case obl punct <pad> 2 3 2 4 3 2 1 3 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Who developed Skype? <pad> PRON VERB PROPN PUNCT <pad> nsubj ROOT dobj punct <pad> 2 1 2 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Wer hat Skype entwickelt? <pad> PRON VERB NOUN VERB PUNCT <pad> sb ROOT oa oc punct <pad> 2 1 3 2 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Кто разработал Skype? <pad> PRON VERB PROPN PUNCT <pad> nsubj ROOT obj punct <pad> 2 1 2 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Qui a développé Skype ? <pad> PRON AUX VERB PROPN PUNCT <pad> nsubj aux:tense ROOT obj punct <pad> 2 2 1 2 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Kas sukūrė „Skype“? <pad> PRON NOUN PUNCT NOUN PUNCT PUNCT <pad> nsubj ROOT punct nmod punct punct <pad> 2 1 3 2 3 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
谁开发了Skype <pad> PRON VERB PART PROPN <pad> nsubj ROOT aux:asp dobj <pad> 2 1 2 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Skypeは誰が開発したのか？ <pad> PROPN ADP PRON ADP VERB AUX AUX SCONJ PART VERB <pad> ROOT case nsubj case advcl aux aux mark mark punct <pad> 1 2 4 5 3 4 4 4 4 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Хто розробив скайп <pad> PRON VERB NOUN <pad> nsubj ROOT obj <pad> 2 1 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Хто распрацаваў скайп <pad> PROPN X NOUN <pad> nsubj ROOT nmod <pad> 2 1 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
¿Quién desarrolló Skype? <pad> PUNCT PRON VERB PROPN PUNCT <pad> punct nsubj ROOT nsubj punct <pad> 2 2 1 2 2 <pad>,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Which people were born in Heraklion? <pad> DET NOUN AUX VERB ADP PROPN PUNCT <pad> det nsubjpass auxpass ROOT prep pobj punct <pad> 3 2 2 1 2 3 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
Welche Menschen wurden in Heraklion geboren? <pad> DET NOUN AUX ADP NOUN VERB PUNCT <pad> nk sb ROOT mo nk oc punct <pad> 3 2 1 3 4 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
Какие люди родились в Ираклионе? <pad> DET NOUN VERB ADP PROPN PUNCT <pad> det nsubj ROOT case obl punct <pad> 3 2 1 3 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
Qui est né à Heraklion ? <pad> PRON AUX VERB ADP PROPN PUNCT <pad> nsubj:pass aux:pass ROOT case obl:arg punct <pad> 2 2 1 3 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
Kas gimė Heraklione <pad> PRON VERB PROPN <pad> nsubj ROOT obl <pad> 2 1 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
有哪些人是在伊拉克利翁出生的？ <pad> VERB DET NOUN VERB ADP PROPN PROPN VERB PART PUNCT <pad> ROOT det nsubj cop case name nmod:prep ccomp discourse punct <pad> 1 4 3 3 4 4 3 2 3 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
Heraklionで生まれた人々は誰ですか？ <pad> PROPN ADP VERB AUX NOUN ADP PRON AUX PART VERB <pad> obl case acl aux nsubj case advcl cop mark ROOT <pad> 4 5 3 4 2 3 2 3 3 1 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
Хто народився в Іракліоні <pad> PRON VERB ADP PROPN <pad> nsubj ROOT case obl <pad> 2 1 3 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
¿Qué personas nacieron en Heraklion? <pad> PUNCT DET NOUN VERB ADP PROPN PUNCT <pad> punct det nsubj ROOT case obl punct <pad> 2 3 2 1 3 2 2 <pad>,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
In which U.S. state is Area 51 located? <pad> ADP PRON PROPN NOUN AUX PROPN NUM VERB PUNCT <pad> prep pobj compound nsubj ROOT attr nummod acl punct <pad> 2 3 3 2 1 2 3 3 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
In welchem US Bundesstaat liegt Area 51? <pad> ADP DET NOUN NOUN VERB PROPN NUM PUNCT <pad> mo nk nk nk ROOT pnc sb punct <pad> 2 4 3 3 1 3 2 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
В каком штате США находится Зона 51? <pad> ADP DET NOUN PROPN VERB NOUN NUM PUNCT <pad> case det obl nmod ROOT nsubj appos punct <pad> 3 3 2 3 1 2 3 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
Dans quel Etat des Etats-Unis se situe l'Area 51 ? <pad> ADP DET NOUN ADP NOUN PRON VERB DET PROPN NUM PUNCT <pad> case det obl:mod case nmod expl:comp ROOT det obj nummod punct <pad> 3 3 2 4 3 2 1 3 2 3 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
"Kurioje JAV valstijoje yra karinė bazė ""51 zona"" <pad> DET X NOUN AUX ADJ NOUN PUNCT NUM NOUN PUNCT <pad> obl nmod obl cop amod ROOT punct nummod obl punct <pad> 2 3 2 2 2 1 2 2 2 2 <pad>",SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
51区在美国的哪个州 <pad> NUM NOUN ADP PROPN PART DET NOUN <pad> dep dep case nmod case det ROOT <pad> 3 2 3 2 3 2 1 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
Area 51はどのアメリカ合衆国の州にありますか？ <pad> NOUN NUM ADP DET PROPN NOUN NOUN ADP NOUN ADP VERB AUX PART VERB <pad> compound nsubj case det compound compound nmod case obl case advcl aux mark ROOT <pad> 3 2 3 5 5 5 4 5 3 4 2 3 3 1 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
"У якому штаті США знаходиться військова база """"Зона 51"""" <pad> ADP DET NOUN PROPN VERB ADJ NOUN PUNCT PUNCT NOUN NUM PUNCT PUNCT <pad> case det obl nmod ROOT amod nsubj punct punct flat:title flat:title punct punct <pad> 3 3 2 3 1 3 2 4 4 3 4 4 4 <pad>",SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
"У якім штаце ЗША знаходзіцца ваенная база ""Зона 51"" <pad> ADP NOUN NOUN PROPN VERB ADJ NOUN PUNCT NOUN NUM PUNCT <pad> case obl ROOT iobj obj amod nsubj punct appos appos punct <pad> 3 2 1 2 2 3 2 4 3 4 4 <pad>",SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
¿En cuál estado de Estados Unidos esta situada el Area 51? <pad> PUNCT ADP PRON NOUN ADP PROPN PROPN DET ADJ DET PROPN NUM PUNCT <pad> punct case det ROOT case nmod flat det amod det nsubj nummod punct <pad> 2 2 2 1 3 2 3 3 2 4 3 4 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
Who is the mayor of New York City? <pad> PRON AUX DET NOUN ADP PROPN PROPN PROPN PUNCT <pad> attr ROOT det nsubj prep compound compound pobj punct <pad> 2 1 3 2 3 6 5 4 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
Wer ist der Bürgermeister von New York City? <pad> PRON AUX DET NOUN ADP PROPN PROPN PROPN PUNCT <pad> sb ROOT nk pd pg pnc pnc nk punct <pad> 2 1 3 2 3 5 5 4 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
Кто мер Нью Йорка? <pad> PRON NOUN PROPN PROPN PUNCT <pad> ROOT nmod nmod nmod punct <pad> 1 2 3 4 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
Qui est le maire de la cité de New York ? <pad> PRON AUX DET NOUN ADP DET NOUN ADP PROPN PROPN PUNCT <pad> nsubj cop det ROOT case det nmod case nmod flat:name punct <pad> 2 2 2 1 3 3 2 4 3 4 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
Kas yra Niujorko meras? <pad> PRON AUX PROPN NOUN PUNCT <pad> nsubj cop nmod ROOT punct <pad> 2 2 2 1 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
谁是纽约市的市长？ <pad> PRON VERB PROPN PART NOUN PUNCT <pad> nsubj cop nmod:assmod case ROOT punct <pad> 2 2 2 3 1 2 <pad>,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
