Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0056,0.1589,0.0029,0.1571,0.1628,0.1557,0.2457
be,0.0098,0.1442,0.0051,0.1986,0.2171,0.1956,0.2704
de,0.0099,0.1477,0.0051,0.1962,0.2137,0.192,0.2634
en,0.0099,0.1439,0.0051,0.1914,0.2134,0.1884,0.2585
es,0.01,0.1481,0.0052,0.2059,0.2137,0.2035,0.2787
fr,0.0068,0.5354,0.0034,0.0775,0.0804,0.0761,0.1408
hy,0.0034,0.1957,0.0017,0.0558,0.0584,0.0546,0.103
ja,0.0104,0.1583,0.0054,0.1966,0.2052,0.1945,0.2625
lt,0.0104,0.1307,0.0054,0.19,0.2089,0.1854,0.2641
ru,0.0104,0.1369,0.0054,0.1775,0.1907,0.1742,0.2393
uk,0.0099,0.1451,0.0051,0.2131,0.2244,0.2103,0.2941
zh,0.0105,0.1482,0.0055,0.2069,0.2198,0.2037,0.2619
