Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0027,0.0018,0.0052,0.2695,0.2752,0.2869,0.4279
be,0.0009,0.0005,0.0075,0.3669,0.3761,0.3868,0.522
de,0.0101,0.0705,0.0054,0.3637,0.3713,0.375,0.5216
en,0.0037,0.0025,0.0077,0.4215,0.435,0.4548,0.5918
es,0.0,0.0,0.0,0.0735,0.0735,0.0735,0.137
fr,0.0037,0.4967,0.0019,0.1375,0.139,0.1415,0.2475
ja,0.0016,0.0009,0.0065,0.3847,0.3983,0.4042,0.5377
lt,0.0018,0.001,0.007,0.3577,0.3688,0.3788,0.5192
ru,0.0086,0.0168,0.0058,0.4122,0.4251,0.4266,0.5749
uk,0.0072,0.0068,0.0076,0.3921,0.4056,0.4181,0.5581
zh,0.008,0.0173,0.0052,0.355,0.3684,0.3684,0.516
