Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0045,0.2023,0.0023,0.1267,0.1342,0.1256,0.2116
be,0.0096,0.1835,0.0049,0.1489,0.1593,0.1514,0.227
de,0.0098,0.1708,0.0051,0.2062,0.2177,0.2033,0.2821
en,0.0096,0.134,0.005,0.1915,0.203,0.1886,0.2596
fr,0.0068,0.5408,0.0034,0.0775,0.0804,0.0761,0.1409
hy,0.0037,0.3118,0.0019,0.0579,0.0597,0.0595,0.1119
ja,0.0082,0.1904,0.0042,0.143,0.1526,0.1396,0.2144
lt,0.0088,0.1956,0.0045,0.134,0.1428,0.1311,0.211
ru,0.0095,0.1313,0.0049,0.1548,0.1664,0.1518,0.2236
uk,0.0094,0.1421,0.0048,0.1664,0.1766,0.1661,0.2391
zh,0.0096,0.1518,0.005,0.1811,0.1912,0.1808,0.2512
