"question, query"
List all boardgames by GMT.,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Who developed Skype?,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Which people were born in Heraklion?,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
In which U.S. state is Area 51 located?,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
Who is the mayor of New York City?,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
Where did Abraham Lincoln die?,SELECT DISTINCT var_uri WHERE bra_open wd_Q91 wdt_P20 var_uri bra_close 
Which airports does Air China serve?,SELECT DISTINCT var_uri WHERE bra_open wd_Q51747 wdt_P113 var_uri sep_dot bra_close 
Give me all actors starring in movies directed by and starring William Shatner.,SELECT DISTINCT var_uri WHERE bra_open var_film wdt_P57 wd_Q16297 ; wdt_P161 wd_Q16297 sep_dot var_film wdt_P161 var_uri sep_dot bra_close 
What are the official languages of the Philippines?,SELECT DISTINCT var_uri WHERE bra_open wd_Q928 wdt_P37 var_uri sep_dot bra_close 
Give me all Danish films.,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q11424 sep_dot var_uri wdt_P31 var_type ; wdt_P495 wd_Q35 sep_dot bra_close 
Which movies starring Brad Pitt were directed by Guy Ritchie?,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q11424 sep_dot var_uri wdt_P31 var_type ; wdt_P161 wd_Q35332 ; wdt_P57 wd_Q192990 sep_dot bra_close 
Give me the grandchildren of Bruce Lee.,SELECT DISTINCT var_uri WHERE bra_open wd_Q16397 wdt_P40 var_children sep_dot var_children wdt_P40 var_uri sep_dot bra_close 
Which other weapons did the designer of the Uzi develop?,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q728 sep_dot wd_Q155644 wdt_P287 var_designer sep_dot var_uri wdt_P279 var_type ; wdt_P287 var_designer sep_dot FILTER ( var_uri != wd_Q155644) bra_close 
Who is the owner of Universal Studios?,SELECT DISTINCT var_uri WHERE bra_open wd_Q168383 wdt_P127 var_uri sep_dot bra_close 
Which state of the USA has the highest population density?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q35657 ; wdt_P2046 var_area ; wdt_P1082 var_population sep_dot BIND(( var_population/ var_area) AS var_density) sep_dot bra_close ORDER BY DESC( var_density) LIMIT 1
Which monarchs were married to a German?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q116 ; wdt_P26 var_spouse sep_dot var_spouse wdt_P27 wd_Q183 sep_dot bra_close 
Which organizations were founded in 1950?,"SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q43229 sep_dot var_uri wdt_P31 var_type sep_dot var_uri wdt_P571 var_foundedAt sep_dot FILTER CONTAINS(STR( var_foundedAt), ""1950"") bra_close "
Who created the comic Captain America?,SELECT DISTINCT var_uri WHERE bra_open wd_Q190679 wdt_P170 var_uri sep_dot bra_close 
Give me the Apollo 14 astronauts.,SELECT DISTINCT var_uri WHERE bra_open wd_Q178871 wdt_P1029 var_uri bra_close 
Who wrote the book The pillars of the Earth?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1163227 wdt_P50 var_uri sep_dot bra_close 
Which state of the United States of America has the highest density?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q35657 ; wdt_P2046 var_area ; wdt_P1082 var_population sep_dot BIND(( var_population/ var_area) AS var_density) sep_dot bra_close ORDER BY DESC( var_density) LIMIT 1
Which spaceflights were launched from Baikonur?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P1427 wd_Q177477 bra_close 
Give me a list of all trumpet players that were bandleaders.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q158852 ; wdt_P1303 wd_Q8338 sep_dot bra_close 
Which U.S. states are in the same timezone as Utah?,SELECT DISTINCT var_uri WHERE bra_open wd_Q829 wdt_P421 var_timezone sep_dot var_uri wdt_P31 wd_Q35657 ; wdt_P421 var_timezone sep_dot FILTER( var_uri != wd_Q829) bra_close 
Who is the daughter of Ingrid Bergman married to?,SELECT DISTINCT var_uri WHERE bra_open wd_Q43247 wdt_P40 var_child sep_dot var_child wdt_P26 var_uri sep_dot bra_close 
Show me all museums in London.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q33506 sep_dot var_uri wdt_P276 wd_Q84 sep_dot bra_close 
Who is the tallest player of the Atlanta Falcons?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P54 wd_Q272059 ; wdt_P2048 var_height sep_dot bra_close ORDER BY DESC( var_height) LIMIT 1
Give me all writers that won the Nobel Prize in literature.,SELECT var_uri WHERE bra_open var_uri wdt_P106 wd_Q36180 sep_dot var_uri wdt_P166 wd_Q37922 sep_dot bra_close 
Show me all basketball players that are higher than 2 meters.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q3665646 sep_dot var_uri wdt_P2048 var_height sep_dot FILTER( var_height > 200) bra_close 
When was the Statue of Liberty built?,SELECT DISTINCT var_date WHERE bra_open wd_Q9202 wdt_P571 var_date sep_dot bra_close 
Which states border Illinois?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1204 wdt_P47 var_uri sep_dot bra_close 
Who developed Minecraft?,SELECT DISTINCT var_uri WHERE bra_open wd_Q49740 wdt_P178 var_uri sep_dot bra_close 
Where did Hillel Slovak die?,SELECT DISTINCT var_uri WHERE bra_open wd_Q186924 wdt_P20 var_uri sep_dot bra_close 
What movies does Jesse Eisenberg play in?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P161 wd_Q219512 sep_dot bra_close 
Give all swimmers that were born in Moscow.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q10843402 ; wdt_P19 wd_Q649 sep_dot bra_close 
Give me all cosmonauts.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q11631 sep_dot bra_open var_uri wdt_P27 wd_Q15180 bra_close UNION bra_open var_uri wdt_P27 wd_Q159 bra_close bra_close 
Give me all Swiss non-profit organizations.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q163740 sep_dot bra_open var_uri wdt_P159 wd_Q39 sep_dot bra_close UNION bra_open var_uri wdt_P159 var_city sep_dot var_city wdt_P31 wd_Q70208 bra_close bra_close 
Which presidents were born in 1945?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P39/wdt_P279 wd_Q30461 sep_dot var_uri wdt_P569 var_date sep_dot FILTER(year( var_date)=1945) bra_close 
What kind of music did Lou Reed play?,SELECT DISTINCT var_uri WHERE bra_open wd_Q189080 wdt_P136 var_uri sep_dot bra_close 
Where do the Red Sox play?,SELECT DISTINCT var_uri WHERE bra_open wd_Q213959 wdt_P115 var_uri bra_close 
